iter	Accuracy	MultiClass
0	0.3401675209	2.258308348
1	0.3976747093	2.216098561
2	0.4410551319	2.177762624
3	0.4703087886	2.139949192
4	0.4836854607	2.105878629
5	0.5011876485	2.074886181
6	0.5146893362	2.044159809
7	0.5254406801	2.012366978
8	0.5340667583	1.982978925
9	0.5423177897	1.960565955
10	0.5471933992	1.935243184
11	0.5500687586	1.909614129
12	0.5565695712	1.885772295
13	0.5646955869	1.86213955
14	0.5671958995	1.840732312
15	0.568696087	1.821358271
16	0.569696212	1.801799913
17	0.5720715089	1.782754239
18	0.5774471809	1.766208352
19	0.5805725716	1.748066724
20	0.5850731341	1.730060284
21	0.5873234154	1.712749234
22	0.5904488061	1.695495295
23	0.5895736967	1.682157784
24	0.5920740093	1.666972557
25	0.5954494312	1.653025555
26	0.5993249156	1.638969362
27	0.6038254782	1.626196956
28	0.6054506813	1.611615057
29	0.6073259157	1.59831564
30	0.6093261658	1.586626904
31	0.6120765096	1.573607962
32	0.6145768221	1.562967353
33	0.6173271659	1.550837843
34	0.6174521815	1.53923213
35	0.6218277285	1.528706234
36	0.622327791	1.51976121
37	0.6240780098	1.509161219
38	0.6260782598	1.500592555
39	0.6269533692	1.491026922
40	0.6294536817	1.480221566
41	0.6320790099	1.46983972
42	0.6329541193	1.460820897
43	0.6339542443	1.450212576
44	0.6349543693	1.441200821
45	0.6373296662	1.433645438
46	0.6395799475	1.425450087
47	0.6403300413	1.417762008
48	0.6419552444	1.409324352
49	0.6418302288	1.402224975
50	0.6435804476	1.394760849
51	0.6457057132	1.387223461
52	0.6457057132	1.37891044
53	0.6465808226	1.371393847
54	0.6483310414	1.364228181
55	0.6514564321	1.356105957
56	0.6519564946	1.348429645
57	0.6544568071	1.342044679
58	0.6570821353	1.336556407
59	0.6579572447	1.330046898
60	0.6589573697	1.323491089
61	0.6595824478	1.31650782
62	0.6608326041	1.310652653
63	0.6627078385	1.304510988
64	0.6643330416	1.299492566
65	0.6674584323	1.29404018
66	0.6685835729	1.288180074
67	0.6680835104	1.282062754
68	0.6697087136	1.274948408
69	0.6712089011	1.269281646
70	0.6723340418	1.263246539
71	0.6742092762	1.258089474
72	0.6752094012	1.253292649
73	0.6747093387	1.248771636
74	0.67695962	1.243057166
75	0.6784598075	1.237992272
76	0.6797099637	1.232255195
77	0.6807100888	1.227238429
78	0.6822102763	1.221855669
79	0.6842105263	1.217643375
80	0.6839604951	1.213727918
81	0.6852106513	1.209719732
82	0.6860857607	1.205605742
83	0.6867108389	1.200478852
84	0.6884610576	1.196040455
85	0.6894611826	1.19119189
86	0.6908363545	1.187017014
87	0.690336292	1.18299795
88	0.6923365421	1.179145275
89	0.6933366671	1.175412632
90	0.6950868859	1.17199209
91	0.6955869484	1.168174739
92	0.6952119015	1.165066329
93	0.6963370421	1.162584933
94	0.6964620578	1.159163814
95	0.7002125266	1.154791026
96	0.7004625578	1.149909998
97	0.7018377297	1.146016793
98	0.7018377297	1.142014327
99	0.705088136	1.137845614
100	0.7042130266	1.134803174
101	0.7059632454	1.131580441
102	0.7064633079	1.128698484
103	0.7090886361	1.125258997
104	0.7077134642	1.121605465
105	0.7085885736	1.118533184
106	0.7110888861	1.114517617
107	0.7108388549	1.111140341
108	0.7105888236	1.108189837
109	0.7137142143	1.10500317
110	0.7137142143	1.10157195
111	0.7150893862	1.097938578
112	0.7149643705	1.094080044
113	0.7140892612	1.090351537
114	0.7149643705	1.08785752
115	0.7164645581	1.084029093
116	0.7174646831	1.081674539
117	0.7177147143	1.07818724
118	0.7194649331	1.075940829
119	0.7205900738	1.072169068
120	0.7215901988	1.069176218
121	0.7234654332	1.066206745
122	0.7233404176	1.063378953
123	0.7237154644	1.060771912
124	0.7253406676	1.057749359
125	0.7265908239	1.055090783
126	0.7265908239	1.05214232
127	0.7295911989	1.048284876
128	0.7313414177	1.045283686
129	0.7309663708	1.042841219
130	0.7308413552	1.040299522
131	0.7315914489	1.037136016
132	0.7313414177	1.034295738
133	0.7317164646	1.032996336
134	0.7333416677	1.029929517
135	0.7344668084	1.027895197
136	0.737592199	1.024598812
137	0.737592199	1.021736053
138	0.7393424178	1.018419695
139	0.7399674959	1.016087297
140	0.740967621	1.012145961
141	0.7425928241	1.008866278
142	0.7424678085	1.006545776
143	0.7427178397	1.003849115
144	0.7447180898	1.001503704
145	0.7450931366	0.9986286557
146	0.7465933242	0.9954656951
147	0.7477184648	0.9932548671
148	0.7485935742	0.991134286
149	0.7485935742	0.9887660398
150	0.7499687461	0.9861852489
151	0.7514689336	0.9828996217
152	0.752344043	0.9804831381
153	0.7534691836	0.9779768598
154	0.7529691211	0.9758979984
155	0.7534691836	0.9733846029
156	0.7535941993	0.97181332
157	0.7545943243	0.9691099388
158	0.7550943868	0.9673040068
159	0.7562195274	0.9648431938
160	0.7573446681	0.9621769962
161	0.75871984	0.9598426883
162	0.7590948869	0.9577704049
163	0.7585948244	0.9558418863
164	0.7593449181	0.9526570276
165	0.7600950119	0.9503245872
166	0.7603450431	0.947688483
167	0.7603450431	0.9457095866
168	0.7625953244	0.9433444757
169	0.7633454182	0.941515954
170	0.7635954494	0.9399919979
171	0.7633454182	0.9371345248
172	0.7635954494	0.9354320799
173	0.7648456057	0.9327836294
174	0.7658457307	0.9301718571
175	0.768096012	0.927111618
176	0.7678459807	0.9257783318
177	0.7683460433	0.9236623345
178	0.7694711839	0.9210536737
179	0.7705963245	0.9194539862
180	0.771096387	0.9172693818
181	0.7724715589	0.9151451525
182	0.7733466683	0.9131883838
183	0.7738467308	0.9112722812
184	0.7742217777	0.9093031187
185	0.7748468559	0.906079403
186	0.7758469809	0.9034556533
187	0.7762220278	0.900834415
188	0.7770971371	0.898178321
189	0.7782222778	0.8958193614
190	0.7787223403	0.8936912576
191	0.7797224653	0.8907760736
192	0.7807225903	0.8881070285
193	0.7813476685	0.8867043734
194	0.7820977622	0.8847874305
195	0.7832229029	0.8824296119
196	0.7829728716	0.8804362256
197	0.782847856	0.8788659061
198	0.7847230904	0.8764928582
199	0.7840980123	0.8736277847
200	0.784848106	0.8715279002
201	0.785848231	0.8693583918
202	0.7859732467	0.8670496213
203	0.786848356	0.8652457288
204	0.7884735592	0.8633383875
205	0.7890986373	0.8607244062
206	0.7898487311	0.8593276481
207	0.7895986998	0.8578843573
208	0.7915989499	0.855806315
209	0.7919739967	0.8532848483
210	0.7933491686	0.8509051407
211	0.7958494812	0.848758388
212	0.7963495437	0.8472778746
213	0.7969746218	0.8451828364
214	0.7973496687	0.8431807201
215	0.7977247156	0.8415168646
216	0.7979747468	0.8397282263
217	0.7992249031	0.8380704559
218	0.7994749344	0.8364184312
219	0.800600075	0.8346221956
220	0.8007250906	0.8335479229
221	0.800600075	0.8319293923
222	0.8017252157	0.8291001273
223	0.8017252157	0.8277640957
224	0.8023502938	0.8261171784
225	0.8016002	0.8242050316
226	0.802600325	0.8226818409
227	0.8029753719	0.8210155161
228	0.8033504188	0.8186047869
229	0.8036004501	0.8164589496
230	0.8047255907	0.8141982961
231	0.8053506688	0.8123340904
232	0.8044755594	0.8112893096
233	0.8057257157	0.809822915
234	0.8071008876	0.8077880233
235	0.8077259657	0.8060280315
236	0.807975997	0.8046176735
237	0.8091011376	0.8032697246
238	0.8084760595	0.8022205275
239	0.8084760595	0.8008969263
240	0.808976122	0.7990303073
241	0.8091011376	0.7974872092
242	0.8103512939	0.7959820706
243	0.810976372	0.7944836431
244	0.8119764971	0.7922402066
245	0.8117264658	0.7912824566
246	0.8117264658	0.7898397672
247	0.8127265908	0.7886037282
248	0.8132266533	0.7872583092
249	0.8137267158	0.7852843405
250	0.8161020128	0.7829842148
251	0.8158519815	0.7816877296
252	0.8161020128	0.7800599501
253	0.816352044	0.7790991537
254	0.8171021378	0.7775397893
255	0.8176022003	0.7768714161
256	0.8177272159	0.7754644977
257	0.818352294	0.7742630086
258	0.8188523565	0.7731363614
259	0.8192274034	0.7713762406
260	0.8197274659	0.7697709083
261	0.8194774347	0.7682858513
262	0.8198524816	0.7672510691
263	0.8208526066	0.7656225444
264	0.8207275909	0.7638905215
265	0.8216027003	0.7625761013
266	0.8223527941	0.7612411876
267	0.8226028254	0.7599489688
268	0.8224778097	0.759169285
269	0.8241030129	0.7580571988
270	0.8251031379	0.756705909
271	0.8254781848	0.7556445687
272	0.8254781848	0.7540554811
273	0.825728216	0.7529041143
274	0.825728216	0.7522316589
275	0.8258532317	0.7509116115
276	0.8266033254	0.7494746516
277	0.8272284036	0.7482878485
