iter	Passed	Remaining
0	5221	10436829
1	10596	10586307
2	15843	10546559
3	20836	10397484
4	25855	10316310
5	30864	10257238
6	35884	10216866
7	40910	10186831
8	45943	10163626
9	50895	10128217
10	55926	10112518
11	61183	10136082
12	66193	10117382
13	71296	10113883
14	76461	10118409
15	81452	10100078
16	86620	10103976
17	92048	10135522
18	97160	10130281
19	102860	10183170
20	108230	10199414
21	113654	10218553
22	119375	10261083
23	124633	10261454
24	129784	10252994
25	134956	10246277
26	140014	10231434
27	145170	10224133
28	150162	10205880
29	155225	10193168
30	160280	10180428
31	165537	10180548
32	170783	10179755
33	175960	10174683
34	181358	10181968
35	186483	10173732
36	191604	10165421
37	196907	10166625
38	202269	10170526
39	207638	10174301
40	213048	10179580
41	218430	10183003
42	223702	10181043
43	228844	10173180
44	234057	10168516
45	239414	10169895
46	244657	10166294
47	249767	10157222
48	254853	10147327
49	260075	10142950
50	265297	10138530
51	270866	10147062
52	276537	10158845
53	281964	10161150
54	287584	10170028
55	293249	10179958
56	298831	10186472
57	304174	10184595
58	309680	10187950
59	315716	10208164
60	321902	10232280
61	328216	10259405
62	334010	10269501
63	339365	10265806
64	344835	10265491
65	350209	10262199
66	355784	10264645
67	361106	10259682
68	366407	10254091
69	371655	10247080
70	376917	10240465
71	382213	10234821
72	387491	10228717
73	392765	10222508
74	398062	10216927
75	403297	10209796
76	408558	10203345
77	413899	10198903
78	419131	10191803
79	424471	10187320
80	429921	10185422
81	435270	10181084
82	440603	10176338
83	445855	10169761
84	451159	10164365
85	456451	10158694
86	461669	10151427
87	466996	10146562
88	472410	10143546
89	477728	10138462
90	483046	10133369
91	488626	10133687
92	493923	10128094
93	499276	10123620
94	504583	10118227
95	509869	10112402
96	515247	10108406
97	520689	10105630
98	527330	10125804
99	532697	10121258
100	538955	10133423
101	544769	10136977
102	550461	10138106
103	556160	10139225
104	560604	10117576
105	565080	10096810
106	569125	10068727
107	573203	10041680
108	577297	10015325
109	582905	10015370
110	589436	10031043
111	595106	10031795
112	600311	10024672
113	605550	10018137
114	610737	10010784
115	615900	10003070
116	621092	9995869
117	626266	9988418
118	631563	9982956
119	636779	9976217
120	641931	9968505
121	647134	9961625
122	652301	9954229
123	657641	9949479
124	662861	9942923
125	668045	9935855
126	673236	9928912
127	678429	9922035
128	684027	9921050
129	689345	9915969
130	694791	9912711
131	700059	9906899
132	705254	9900075
133	710475	9893638
134	715638	9886409
135	720894	9880493
136	726149	9874576
137	731356	9868007
138	736537	9861126
139	741763	9854857
140	746920	9847691
141	752132	9841281
142	757410	9835746
143	762618	9829307
144	767831	9822952
145	773044	9816610
146	778223	9809846
147	783543	9804879
148	788794	9799050
149	793997	9792630
150	799222	9786501
151	805004	9787162
152	810431	9783445
153	815709	9777925
154	821095	9773680
155	826695	9771967
156	831981	9766504
157	844945	9850561
158	853734	9885069
159	864281	9939242
160	874748	9991697
161	886164	10054140
162	897440	10114097
163	907262	10156910
164	914815	10173852
165	924413	10213097
166	932208	10231960
167	939806	10248367
168	947278	10263115
169	954349	10273296
170	961277	10281729
171	968102	10288900
172	975571	10302715
173	983001	10315867
174	992863	10354149
175	999950	10363127
176	1006929	10370800
177	1013929	10378535
178	1021208	10388946
179	1028350	10397769
180	1035551	10407003
181	1043120	10419744
182	1050014	10425552
183	1057006	10432192
184	1063997	10438680
185	1070819	10443368
186	1077488	10446448
187	1084338	10451178
188	1091016	10454127
189	1098055	10460424
190	1105641	10471756
191	1113206	10482696
192	1120279	10488832
193	1127825	10499240
194	1135327	10509059
195	1143286	10522900
196	1151074	10534965
197	1158897	10547139
198	1166586	10557896
199	1174350	10569153
200	1182136	10580416
201	1190125	10593296
202	1197346	10599166
203	1204627	10605448
204	1212100	10613269
205	1219398	10619425
206	1226673	10625245
207	1234079	10632073
208	1241496	10638851
209	1249125	10647309
210	1256432	10652882
211	1263781	10658689
212	1270928	10662673
213	1278068	10666498
214	1285213	10670257
215	1292382	10674120
216	1299454	10677080
217	1306399	10678918
218	1313612	10682845
219	1320775	10686274
220	1327827	10688712
221	1334634	10689100
222	1341622	10690867
223	1348763	10693771
224	1356095	10698085
225	1362865	10697888
226	1369730	10698379
227	1377257	10703946
228	1384353	10706073
229	1391197	10706168
230	1398695	10711219
231	1405688	10712314
232	1412808	10714300
233	1419997	10716731
234	1426829	10716399
235	1433695	10716268
236	1440414	10714980
237	1447276	10714713
238	1453697	10711132
239	1460296	10708837
240	1467162	10708456
241	1474841	10713933
242	1482880	10721898
243	1490822	10729035
244	1500185	10746227
245	1505061	10731212
246	1509701	10714601
247	1520345	10740506
248	1530772	10764588
249	1539375	10775627
250	1548736	10791796
251	1555911	10792595
252	1562638	10790235
253	1569152	10786376
254	1576071	10785272
255	1582873	10783324
256	1589918	10782988
257	1596680	10780685
258	1603713	10780173
259	1610323	10776783
260	1617391	10776409
261	1624397	10775580
262	1631510	10775416
263	1638419	10773846
264	1645204	10771436
265	1652158	10770088
266	1659113	10768699
267	1665850	10765869
268	1672848	10764683
269	1680135	10765309
270	1687443	10766015
271	1694846	10767261
272	1702064	10767270
273	1709393	10767930
274	1716510	10767201
275	1723226	10763922
276	1730349	10763147
277	1737282	10761155
278	1743886	10757093
279	1751018	10756257
280	1757923	10753985
281	1765087	10753263
282	1773220	10758374
283	1780132	10756010
284	1787506	10756399
285	1794359	10753609
286	1801282	10751209
287	1808270	10749160
288	1815391	10747872
289	1822212	10744769
290	1829262	10742985
291	1836252	10740817
292	1843212	10738440
293	1850231	10736375
294	1857605	10736327
295	1864788	10735133
296	1871800	10732917
297	1879010	10731797
298	1885888	10728752
299	1892926	10726582
300	1900204	10725741
301	1907212	10723334
302	1914195	10720759
303	1921239	10718493
304	1928173	10715586
305	1935116	10712701
306	1942119	10710124
307	1949119	10707501
308	1955945	10703893
309	1963033	10701696
310	1969780	10697617
311	1977130	10696785
312	1984512	10696079
313	1992038	10696102
314	1999697	10696794
315	2007951	10700601
316	2015510	10700646
317	2023044	10700505
318	2032249	10709129
319	2039691	10708381
320	2046917	10706461
321	2054136	10704473
322	2061230	10701804
323	2069306	10704192
324	2077045	10704772
325	2084479	10703737
